Layer,Name,GEOID,Population,Longitude,Latitude,EKW_2024,INC_2019-2023,CZM_2023,EDB_2019-2023
Census tract,Tract 101,17031010100,4905,-87.66983010,42.02125530,12.83,69459.99999999999,178.0,92.35777930089102
Census tract,Tract 102.01,17031010201,6939,-87.68014840,42.01600770,15.0,49638.99999999999,196.0,80.82444626743232
Census tract,Tract 102.02,17031010202,2742,-87.67332560,42.01604760,15.83,55118.99999999999,390.0,89.01322482197355
Census tract,Tract 103,17031010300,6305,-87.66653930,42.01594310,15.04,65870.99999999999,232.0,90.92112729336108
Census tract,Tract 104,17031010400,5079,-87.65881570,42.00641090,14.5,49017.0,207.0,99.24332935085624
Census tract,Tract 105.01,17031010501,4206,-87.66395830,42.00941190,13.44,48249.99999999999,129.0,99.20027816411682
Census tract,Tract 105.02,17031010502,3278,-87.66332730,42.00451730,14.33,61366.99999999999,80.0,92.4908424908425
Census tract,Tract 105.03,17031010503,2565,-87.66312620,42.00032070,16.08,21924.0,136.0,87.20103425985779
Census tract,Tract 106,17031010600,6225,-87.66768300,42.00627740,14.5,71920.0,267.0,92.85714285714286
Census tract,Tract 107.01,17031010701,3673,-87.67862040,42.00914820,12.83,74208.0,98.0,86.57718120805369
Census tract,Tract 107.02,17031010702,4776,-87.67272570,42.00901990,15.12,58288.99999999999,138.0,81.3738019169329
Census tract,Tract 201,17031020100,4202,-87.68711690,42.01572100,13.92,69849.99999999999,108.0,85.8459512837393
Census tract,Tract 202,17031020200,7128,-87.69951910,42.01569030,16.17,115559.0,122.0,87.48868778280543
Census tract,Tract 203.01,17031020301,5261,-87.70518650,42.00686510,14.11,76327.0,89.0,98.02941176470588
Census tract,Tract 203.02,17031020302,5010,-87.69496340,42.00854060,14.72,81562.99999999999,140.0,96.9358442387488
Census tract,Tract 204,17031020400,4435,-87.68591180,42.00848800,13.5,81839.99999999999,123.0,89.03889424622308
Census tract,Tract 205,17031020500,6599,-87.68419820,42.00131290,14.96,46457.99999999999,176.0,80.0536073263346
Census tract,Tract 206.01,17031020601,6699,-87.70180250,42.00087460,15.11,62015.0,119.0,81.09195402298852
Census tract,Tract 206.02,17031020602,4662,-87.69363730,42.00131560,13.38,87804.0,111.0,83.03724928366762
Census tract,Tract 207.01,17031020701,1879,-87.70368970,41.98689150,16.33,101249.99999999999,46.0,89.42528735632183
Census tract,Tract 207.02,17031020702,7717,-87.70489390,41.99412560,14.75,76812.0,207.0,76.0942760942761
Census tract,Tract 208.01,17031020801,5648,-87.69441490,41.98680810,14.54,73151.0,116.0,92.77412834765032
Census tract,Tract 208.02,17031020802,7546,-87.69463060,41.99405920,14.5,70044.0,163.0,70.31888798037612
Census tract,Tract 209.01,17031020901,5848,-87.68547360,41.99439220,13.22,52377.99999999999,154.0,77.35235235235236
Census tract,Tract 209.02,17031020902,4488,-87.67868410,41.99425850,14.5,47963.0,141.0,85.89251439539348
Census tract,Tract 301.01,17031030101,3687,-87.65487900,41.99105380,12.83,49131.99999999999,129.0,94.74587912087912
Census tract,Tract 301.02,17031030102,3121,-87.65502250,41.99302640,11.61,59621.99999999999,89.0,85.45845272206304
Census tract,Tract 301.03,17031030103,2104,-87.65515270,41.99552410,12.08,55651.0,45.0,87.74761555392516
Census tract,Tract 301.04,17031030104,3521,-87.65598640,41.99727730,8.58,47329.99999999999,40.0,93.75506893755067
Census tract,Tract 302,17031030200,5627,-87.66523000,41.99444140,16.0,103757.99999999999,234.0,94.30748543254144
Census tract,Tract 303,17031030300,3148,-87.67253480,41.99438750,14.83,67142.99999999999,73.0,88.27722772277228
Census tract,Tract 304,17031030400,2597,-87.67207880,41.98695150,16.5,97441.99999999999,56.0,97.8194505015264
Census tract,Tract 305,17031030500,6183,-87.66493590,41.98722600,15.29,123463.99999999999,238.0,96.38508371385085
Census tract,Tract 306.01,17031030601,3293,-87.65460870,41.98897160,11.28,51136.0,95.0,94.73496976165066
Census tract,Tract 306.03,17031030603,2045,-87.65839790,41.98547620,10.58,54415.0,107.0,93.60328638497651
Census tract,Tract 306.04,17031030604,3737,-87.65245460,41.98587070,10.86,51031.99999999999,37.0,92.68088665830196
Census tract,Tract 307.01,17031030701,1671,-87.65796590,41.98274530,12.67,51625.0,76.0,94.29024583663758
Census tract,Tract 307.02,17031030702,2318,-87.65452860,41.98081480,12.46,60132.99999999999,,97.52650176678446
Census tract,Tract 307.03,17031030703,3075,-87.65787080,41.97887490,13.94,68861.0,185.0,91.86401833460656
Census tract,Tract 307.06,17031030706,2933,-87.65091550,41.98041510,13.58,50430.99999999999,76.0,93.7888198757764
Census tract,Tract 308,17031030800,4284,-87.66418800,41.97991230,15.12,96719.0,80.0,93.28992072480182
Census tract,Tract 309,17031030900,2952,-87.67144540,41.97979510,17.38,97375.0,138.0,95.57836557441767
Census tract,Tract 310,17031031000,3868,-87.67110940,41.97243700,15.28,117113.99999999999,103.0,97.71088115396677
